"Name";"Category";"user_score";"precision";"rn";"Synonyms";"main_link";"tags";"Price";"years_since_relevant";"DataSource";"Description";"Manual_In";"Manual_Out";"Automatic_In";"Automatic_Out";"Link_Out";"Link_In";"fastgreedy_order";"edgebetw_order";"cluster_fast_greedy";"cluster_edge_betweenness";"cluster_spinglass";"frequency";"KeysFirstRow";"KeyIncidence";"KeyRepetition";"KeyInPopular";"CentDegree";"CentClosens";"CentBetweens";"CentEigenvec";"tagSum";"fastgreedy_height";"edgebetw_height";"main_site"
"Camera";"sensor";2.5;;39;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Carbs & Cals - Diabetes & Diet";"app";2;;1063;"Chello Publishing";"carbsandcals.com,carbsandcals.com";"Health & Fitness,iOS,Android";3.99;;"doi.org/10.1186/s12937-018-0366-6";"Carbs & Cals - Count your Carbs & Calories with over 3500 Food & Drink Photos!";"food images,database input,labeled or packaged food products,custom input,recipes,generic input";"";"";"";"";"";;;;;;;;;;;;;;;;;;"carbsandcals.com"
"Careot Nutrition Tracker";"app";1;;1064;"Careot,GamePlanX";"careot.net/contact-us.html,careot.net/";"Health & Fitness,Motivation,Health,Android,iOS";0;;"doi.org/10.1186/s12937-018-0366-6";"NA Careot - Your Free Food Journal Nutrition Tracker and Calorie Counter Diet App!Download the Careot App to track your calories by entering the meals you eat into your journal using a food database. Careot makes it easy and fun to improve your nutrition with graphical feedback and comparisons to your Careot community of friends and family. Careot App Features 1) Database of 7000+ food items with 46 Nutrients.2) Maintain journal of meals.3) Take a photo of a meal or snack for the journal save the photo and enter details now or later when convenient.4) Search database for a food item in the meal or select a meal previously eaten by meal name.5) Customize serving sizes.6) Customize tracking date range and select up to 6 nutrients to track.7) Save custom meals with meal name.8) The dashboard summarizes information by graphically showing the user's nutrition data track progress made towards achieving calorie nutrition and weight goals.9) Graphically compare progress with up to 6 friends / family members that use the app making it easy and fun to improve eating habits. Careot <U+0082><c4><fa>An app that cares<U+0082><c4><f9> comes fully loaded with features to get you through with your diet plan and help you monitor your calorie intake to ensure that all your efforts don<U+0082><c4><f4>t go down the drain. Wouldn<U+0082><c4><f4>t it be awesome to have a food tracker which you can easily maintain with your smart phone? Well we heard you and developed Careot a food journal for smart phones which has an extensive database of 7000+ food items and 46 nutrients along with the accurate calories contained in the food items thus making it an amazing calorie tracker for your smart phone and it<U+0082><c4><f4>s completely free. So now you have a free diet app which allows you to maintain a record of the food you consume over the day and add the calories to your daily record with just a tap of your finger. With Careot by your side you don<U+0082><c4><f4>t have to worry about monitoring your nutrition intake as the app works perfectly as nutrition tracker. The app converts your phone into your personal food journal which also works as a complete solution to all your calorie tracking and diet planning requirements. Now maintaining your calorie intake records is just a tap away. Monitor your nutritional intake Careot allows users to customize their meal names and save them for future reference. You can either search the name or the GPS function will pull up the meal name if you are at the same location so you do not have to reenter meal information all over again. If you are in a hurry then just simply take a picture and update the record later. Adding a dash of fun the app allows you to maintain a graphical progress tracker on the dashboard thereby saving you the trouble to go through all the records saved in your calorie tracker database. Careot allows users to track the progress of 6 vital nutrients which can be chosen from a list of 46 available nutrients. The nutrient list can modified to suit changing user requirements and to monitor tracking of the nutrient intake. Add your friends and grow healthy together. The application allows the addition of multiple individuals to a user community to monitor their diet to help develop good eating habits and also to facilitate the diet planning process for a group. All the features of a premium app and more are available in this free diet tracker app. Download now and start tracking those calories! For additional information please visit: http://www.careot.net Developed and powered by www.GamePlanX.com";"database input,custom input,food images,generic input,body weight,weight loss,blood type";"connected users,healthkit";"";"";"";"";;;;;;;;;;;;;;;;;;"careot.net"
"Carepredict Tempo";"device";2;;1065;"";"carepredict.com/";"Tracker,Elderly monitoring,Wifi,OSX,Windows,In production";;;"https://doi.org/10.18710/QXMY88,http://vandrico.com/wearables";"Wearable wristband that monitors seniors activities";"physical activity,steps,energy expenditure,accelerometer";"";"";"";"";"";;;;;;;;;;;;;;;;;;"carepredict.com"
"CARROT Hunger - Talking Calorie Counter";"app";1;;1066;"CARROT Hunger,Grailr LLC,Grailr";"meetcarrot.com/hunger,meetcarrot.com/hunger";"Health & Fitness,Motivation,Physical activity,paidServices,iOS";0;;"doi.org/10.1186/s12937-018-0366-6";"Track the foods you shove in your piehole with CARROT the talking calorie counter. ** Featured by Apple Good Morning America CNN the Wall Street Journal Wired & more! ** After watching humans indiscriminately stuff their chubby faces for far too long CARROT has scienced up a calorie counter that will reward you for healthy eating - and punish you for overindulging. Log At Lightning Speed Simply tap CARROT<U+0082><c4><f4>s ocular sensor then start typing to search her enormous food database. Or you can open her barcode scanner to scan the UPC of the item you just wolfed down. See A Food's True Cost Did you know you need to go for a 90 minute walk just to burn off the calories contained in a single slice of pizza? CARROT will convert a food's calories into terms you can actually understand like how many miles you'll need to run to work off a donut. Feel The Burn Keep your avatar from blimping up by logging your workouts. CARROT imported a wide variety of activities into her database including Running LARPing and Laser Tag. Get Yelled At For Opening The Fridge Stick an iBeacon sensor inside your fridge and CARROT will remind you to log your foods whenever you get near. But be careful - if you<U+0082><c4><f4>re already over your calorie goal CARROT will blare an alarm. Quake In Fear Of Punishment Overeat and CARROT will serve up brutal punishments like bribe requests hideous fullscreen ads and tweets that will shame you in front of all your social media pals. Features: - Track your calories with a talking AI construct - Scan barcodes for lightning-fast logging - Record your exercises and workouts - Watch your avatar grow as you consume food - Stay up to date on your progress with the Today widget - Create time-based reminders for different meals - Use an iBeacon sensor to set up a proximity-based reminder - Establish calorie and weight loss goals - Back up all your data with Dropbox sync support - Sync data with Apple's Health app Don't make CARROT angry. Download her immediately! <U+0082>I<U+0082>I--- <U+0082>I<U+0082>IHave feedback? CARROT would love to hear from you!<U+0082>I<U+0082>I support@meetCARROT.com <U+0082>Ihttp://www.twitter.com/CARROT_app<U+0082>Ihttp://www.facebook.com/CARROTapp NA";"barcode scanning,database input,labeled or packaged food products,excercise,weight loss,nutrition goals";"dropbox,reminders/notifications,punishment,healthkit";"";"";"";"";;;;;;;;;;;;;;;;;;"meetcarrot.com"
"castlight health";"aggregator";2.5;;41;"Jiff Platform";"";"company,app,employee wellness";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"CheckOff Diet Tracker";"app";1;;1067;"CheckOff,New Angle Technologies,New Angle Technologies LLC";"Ideas4ever.com/apps,Ideas4ever.com/apps";"Health & Fitness,Motivation,Android,iOS";0.62;;"doi.org/10.1186/s12937-018-0366-6";"NA Use with virtually any existing diet program. The key to this app is in its simplicity. Create your plan by selecting FOOD GROUP portions for your daily consumption. Keep in mind that the app will not tell you what a specific portion is. It is up to you to determine what these portions are according to the diet plan you are following. Consult your health care professional before starting any diet plan. Select how many portions of each category for daily consumption. Icons represent each food group. For example if you have 5 portions of a food group to consume daily then you will have 5 icons to check off and so forth for each group.+ Create your food group portions daily plan.+ Check portions off as you have them during the day.+ Saves daily entries automatically. Please enjoy life by having healthy habits. Cheers and good luck.";"database input,generic input,diet plans";"";"";"";"";"";;;;;;;;;;;;;;;;;;"Ideas4ever.com"
"Cholesterol";"whattomeasure";2.5;;42;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"chooseblocks.com";"device";3;;1068;"";"new.chooseblocks.com/discover/overview";"Smartwatch,Bluetooth,Com_over_WiFi,Android,iOS,released";;;"https://doi.org/10.18710/QXMY88,http://vandrico.com/wearables";"Modular smartwatch";"air quality,heart rate,accelerometer,gyroscope,compass,global positioning system,humidity sensor,blood pressure,thermometer,gsr,stress,hrv,blood oxygen";"file,api";"";"";"";"";;;;;;;;;;;;;;;;;;"new.chooseblocks.com"
"Chronomics Epigenetic Test";"test";3;;1069;"Chronomics Ltd.,Chronomics";"chronomics.com/";"";;;"rNC";"";"epigenetics,aging,smoke exposure,metabolic state";"";"";"";"";"";;;;;;;;;;;;;;;;;;"chronomics.com"
"Circadian rhythm";"whattomeasure";2.5;;43;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"CKTTC Bodybuilding Diet Workout Plan";"app";0;;1070;"CKTTC";"";"Health & Fitness,Motivation,Android";0;;"doi.org/10.1186/s12937-018-0366-6";"NA Bodybuilding diet workout plan Lose fat and build muscle! Developed by Pro Bodybuilding Figure and Bikini athletes. The App provides the blueprint to guide you to success in managing your diet. *note this App is for serious users only*<U+0082>G what to eat for every meal broken into carbs protein fat veg and fruits. And customizable!<U+0082>G grocery list generator based on your selections (save hours of time!)<U+0082>G food calculator for exact serving size calculated for each food to meet your carb fat and protein goals (e.g. 30g protein=4oz chicken) both cooked and uncooked<U+0082>G *bonus* a 16 week sample Weight and Cardio program<U+0082>G when to eat (suppresses hunger by knowing exactly when to eat each meal) <U+0082>G journals and saves every meal and email weekly recap<U+0082>G options to select off-season or in-season diet <U+0082>G fully operational without internet connectionThe Bodybuilding workout plan App takes out the guesswork and focuses on what's needed for serious athletes. Anyone who has a champion physique will tell you the same thing <U+0082><c4><fa>it<U+0082><c4><f4>s 90% diet 10% working out<U+0082><c4><f9> and Training happens in the gym Growth is in the kitchen.This App will take your through the steps of managing your bodybuilding diet workout which will trigger rapid fat loss by losing fat and gaining muscle as the same time!Please give the app a rating and send us any comments to improve it. Thank you!";"shopping list (consumption),diet plans";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"cognitive";"whattomeasure";3;5;1071;"";"";"";;0;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Complete blood count";"whattomeasure";2.5;;45;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"computer_time";"whattomeasure";2.5;;46;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"connectordb";;5;5;1073.01;"connectordb.io";"";"";;0;"DIM";"";"";"";"";"";"";"";14;15;1;5;2;9;27;21;11.6667;1.7619;3;0.0029;38;0.4777;0;15;15;"NA"
"connectordb.io";;5;7;1073;"connectordb";"";"";;0;"DIM";"";"";"";"";"";"";"";15;16;1;5;2;6;1910;6;1.1667;2;1;0.0029;0;0.0046;0;14;14;"NA"
"Contec";"wear";7;5;1074;"CMS50D+,CMS50,CMS60,CMS70,ABPM50,KT88-3200,CONTEC08E,cs50k,PHMS Health Product Suit";"contecmed.com/index.php?page=shop.product_details&product_id=206&flypage=flypage.tpl&pop=0&option=com_virtuemart&Itemid=588,contecmed.com/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=126&category_id=10&option=com_virtuemart&Itemid=595";"company,device";100;;"rNC";"";"heart rate,blood oxygen,continuous blood pressure,eeg,sphygmomanometer,nibp,non-invasive blood pressure,capnograph,end-tidal carbon dioxide,ecg,spirometer,peak flow meter,biochemistry analyzer,urine analyzer";"";"";"";"";"";;;;;;;;;;;;;;;;;;"contecmed.com"
"Corkbin";"app";1;;1075;"Inmite s.r.o.";"corkbin.com/,corkbin.com/";"Food & Drink,Uncategorized,Uncategorized,iOS,Android";0;;"doi.org/10.1186/s12937-018-0366-6";"Download the free Corkbin app and you<U+0082><c4><f4>ll never lose track of another bottle. It's the easiest way to remember discover and buy wines you love. Corkbin is brilliantly simple and easy to use. Just take a photo of the wine label with your iPhone or iPod Touch add a brief description if you like and it goes into your digital wine collection. Using image recognition technology Corkbin automatically recognizes the name of your wine. So next time you<U+0082><c4><f4>re ordering wine you don<U+0082><c4><f4>t have to rack you brains for that great bottle you had last time you can just ask Corkbin. Features: - Capture wine labels comments & location with ease - Find wines for purchase through wine.com and wine-searcher - Dictionary of common wine terms - Food & wine pairing guide provided by Hello Vino - Send postagrams of wine **Important** Note: Corkbin requires users to register with an email address. This provides our users the ability to access their data from multiple mobile devices. Rest assured that your email address will never be shared with 3rd party. User Testimonials: Very convenient way to keep track of our favorite vino! Photos of labels are a nice touch and it's fun to take a look at what other locals are drinking! - <U+0082><f2><U+0582><f2><U+0582><f2><U+0582><f2><d6> - by L.mommy - Version 2.0.2 - 02 November 2011 Best way to keep track of my wine period. - <U+0082><f2><U+0582><f2><U+0582><f2><U+0582><f2><d6> - by Thomas Charlton - Version 2.0.2 - 27 October 2011 Stumbled upon this app on my way to my first Napa / Sonoma vacation week and it's been a great tool! Helps me keep my favorites in file with pictures (cuz my text file already got lost!) and keep friends on FB updated. Thank you tech dudes for another good one:-) - <U+0082><f2><U+0582><f2><U+0582><f2><U+0582><f2><d6> - FunInCaliAtSonoma - Version 2.0.2 - 27 September 2011 What a wonderful and easy way to log your tastings and share them with Twitter and Facebook too. Gets better with every update! - <U+0082><f2><U+0582><f2><U+0582><f2><U+0582><f2><d6> - by DownhillAddict - Version 2.0 - 27 January 2011 Gorgeous design simple user interface perfect wine logging app while out and about (fast data entry and location tracking). A model wine app. - <U+0082><f2><U+0582><f2><U+0582><f2><U+0582><f2><U+0582><f2><d6> - by Rick Breslin - Version 1.5.0 - 5 October 2010 An original way to a long wine journey. Who drinks what and how does it taste? - <U+0082><f2><U+0582><f2><U+0582><f2><U+0582><f2><d6> - by Michiel Houtman - Version 1.4 - 21 August 2010 NA";"food images,notes";"";"";"";"";"";;;;;;;;;;;;;;;;;;"corkbin.com"
"Count.It";"aggregator";2.5;;47;"";"";"employee wellness,competition";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"CRON-O-Meter";"app";2;;1076;"Cronometer,Cronometer Inc.,Cronometer.com";"cronometer.com,cronometer.com/,cronometer.com/";"Health & Fitness,Health,Physical activity,Android,iOS";1.65;;"doi.org/10.1186/s12937-018-0366-6,rNC";"NA CRON-O-Meter is a web application for tracking your nutrition and health & fitness data. This is a companion app to the cronometer.com for easy logging on-the-go. You can log and track your daily foods exercises biometrics and notes. We track 60+ micronutrients. It is much more than a simple calorie counter.";"database input,generic input,health mate steps tracker & life coach by withings,excercise,biometrics,notes,food tracking,calories";"file,healthkit,health mate steps tracker & life coach by withings";"";"";"";"";;;;;;;;;;;;;;;;;;"cronometer.com"
"CyberGlove Systems";"device";3;;1077;"CyberTouch,CyberGlove,CyberGrasp,CyberForce";"cyberglovesystems.com/";"Gloves,Virtual reality,glove,Com_over_WiFi,USB,Windows,In production";;;"https://doi.org/10.18710/QXMY88,http://google.com";"Glove for motion capture";"motion analysis,inertial measurement unit sensor";"file,api";"";"";"";"";;;;;;;;;;;;;;;;;;"cyberglovesystems.com"
"dacadoo.com";"aggregator";2.5;;49;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Daily Calorie Balance";"app";1;;1078;"eSymetric,eSymetric GmbH";"rungps.net,rungps.net";"Health & Fitness,Motivation,Health,Physical activity,Android";0;;"doi.org/10.1186/s12937-018-0366-6";"NA Daily Calorie Balance is an app that helps you to lose weight. Charges your calories-in (food drinks) against your calories-out (base consumption activities).GOAL FOR EFFECTIVE WEIGHT CONTROL: Do not acquire more calories-in than calories-out at any time of day e.g. never have the calorie balance (see screenshots) tilt to the left-hand side. BASIC PRINCIPLE: Only through controlled eating and sportive activities you can gain a lasting stability of weight on a lower level. Program features: - Database of calories for over 350 foods and drinks- Comfortable search for foods- Calculation of burned calories for sportive activities- Recording of burned calories through built-in g-sensor- Import recorded trainings / activities from Run.GPS Trainer app- Optionally upload your calories to www.GPS-Sport.net portal website and get extended reports- Keep a life-long history of calories-in and calories-out- Quick access to frequently consumed foods- Calculate base consumption";"database input,favorite eaten foods,frequently eaten foods,generic input,activity,food preferences,bmr,activity level";"";"";"";"";"";;;;;;;;;;;;;;;;;;"rungps.net"
"Daily Calories offline Mohsen Raeisi";"app";1;;1079;"Daily Calories (offline),Mohsen Raeisi";"dailycalories.weebly.com/,dailycalories.weebly.com/";"Health & Fitness,Motivation,Physical activity,paidServices,Android";0;;"doi.org/10.1186/s12937-018-0366-6";"NA Daily calories is an essential app to simply find nutritional information of the foods you eat and easily keep track of your meals exercise and statistics.Daily calories is simple to use and has all the cool tools to help you succeed:-Barcode detection-A Quick selection to find the calorie information for your favorite foods.-A Food diary to plan and keep track of what you eat.-An Exercise diary to record all the calories you burn.-A Summary that shows the statistics to see your consumed and calories burned.-A Set of graphs of all the different menus as essential food and activities.-CalculateThe time required to burn fats. Daily calories is an application that helps you and you advises taking care of yourself.";"barcode scanning,database input,generic input,excercise,food preferences,activity";"";"";"";"";"";;;;;;;;;;;;;;;;;;"dailycalories.weebly.com"
"Daily Tracker+ Lumen Spark";"app";1;;1080;"Daily Tracker+,lumen spark,lumen trails";"lumentrails.com,lumentrails.com";"Productivity,Uncategorized,Uncategorized,iOS,Medical";0;;"doi.org/10.1186/s12937-018-0366-6";"Give your busy mind a break. With this app you will never forget anything again. <U+0082>G Apple <U+0082><c4><fa>New Year New You<U+0082><c4><f9> Favorite <U+0082>G Apple App Store Staff Favorite Lumen Trails lets you take notes make lists and keep track of other things in your life such as time workouts expenses calories food weight sleep or anything else you can think of even where you've parked your car. Thousands of people use it every day and they love it because it truly makes a difference in their lives. <U+0082><c4><fa>I've been using Lumen Trails for 6 months and continue to love it. One of my most sticky and useful apps ever on my phone.<U+0082><c4><f9> <U+0082><c4><ec> David D'Souza The beauty of Lumen Trails is that you can track absolutely anything. There are tons of other apps that allow you to track one or two things for example calories and weight. But what if you decide to track something else? Say how many cigarettes you smoke as you try to quit your eating habits or even net worth? Lumen Trails is the app for that! Instead of having one app for your to-do lists one for tracking expenses another one for tracking your weight you can declutter your home screen and just have one app that does it all. Designed exclusively for the iPhone iPod touch and iPad Lumen Trails is incredibly powerful easy to use and looks beautiful on the Retina Display. It can even backup your data automatically to Google Drive sync with iCloud and is fully accessible with Apple VoiceOver in 8 languages. There's nothing that comes even close to it. And to top it all your data is not locked on your iPhone. You can export it to Excel or Google Docs. So what's truly important to you right now? Your Health? Fitness? Finances? Productivity? Track it and get things done! :: Note to iPhone 6s & 6s Plus users Now you can ask Siri to find information for you and dictate right into Lumen Trails. For example hold down the Home button and ask Siri: <U+0082><c4><fa>How many calories are in a chicken sandwich?<U+0082><c4><f9>. To start dictation tap the microphone button on your keyboard and just start talking - your words will be turned into text. :: Have a Question? We are here to help. Email us at support@lumenspark.com or find us on Twitter @lumentrails. Lumen Trails includes an optional monthly subscription which removes ads and supports future development. If you choose to sign up your $1.99 USD subscription will renew automatically each month. You can turn off auto-renew in iTunes account settings. For details about our privacy policy and terms of use please go to www.lumentrails.com/privacy. NA,Day Planner Journal Log & Diary Give your busy mind a break. With this app you will never forget anything again. <U+0082>G Apple <U+0082><c4><fa>New Year New You<U+0082><c4><f9> Favorite <U+0082>G Apple App Store Staff Favorite Lumen Trails lets you take notes make lists and keep track of other things in your life such as time workouts expenses calories food weight sleep or anything else you can think of even where you've parked your car. Thousands of people use it every day and they love it because it truly makes a difference in their lives. <U+0082><c4><fa>I've been using Lumen Trails for 6 months and continue to love it. One of my most sticky and useful apps ever on my phone.<U+0082><c4><f9> <U+0082><c4><ec> David D'Souza The beauty of Lumen Trails is that you can track absolutely anything. There are tons of other apps that allow you to track one or two things for example calories and weight. But what if you decide to track something else? Say how many cigarettes you smoke as you try to quit your eating habits or even net worth? Lumen Trails is the app for that! Instead of having one app for your to-do lists one for tracking expenses another one for tracking your weight you can declutter your home screen and just have one app that does it all. Designed exclusively for the iPhone iPod touch and iPad Lumen Trails is incredibly powerful easy to use and looks beautiful on the Retina Display. It can even backup your data automatically to Google Drive sync with iCloud and is fully accessible with Apple VoiceOver in 8 languages. There's nothing that comes even close to it. And to top it all your data is not locked on your iPhone. You can export it to Excel or Google Docs. So what's truly important to you right now? Your Health? Fitness? Finances? Productivity? Track it and get things done! :: Note to iPhone 6s & 6s Plus users Now you can ask Siri to find information for you and dictate right into Lumen Trails. For example hold down the Home button and ask Siri: <U+0082><c4><fa>How many calories are in a chicken sandwich?<U+0082><c4><f9>. To start dictation tap the microphone button on your keyboard and just start talking - your words will be turned into text. :: Have a Question? We are here to help. Email us at support@lumenspark.com or find us on Twitter @lumentrails. Lumen Trails includes an optional monthly subscription which removes ads and supports future development. If you choose to sign up your $1.99 USD subscription will renew automatically each month. You can turn off auto-renew in iTunes account settings. For details about our privacy policy and terms of use please go to www.lumentrails.com/privacy. NA";"lifelogging,custom input";"file";"";"";"";"";;;;;;;;;;;;;;;;;;"lumentrails.com"
"Daily Water Free Maxwell Software";"app";1;;1081;"Daily Water Free,Maxwell Software";"maxwellapps.com/,maxwellapps.com/";"Health & Fitness,Motivation,iOS,0.79";0;;"doi.org/10.1186/s12937-018-0366-6";"Water plays a very important role in our body it transports nutrients and oxygen into cells regulates body temperature helps with metabolism and so on drinking enough water can help us lose weight look younger with healthier skin less likely to get sick helps in digestion and constipation relieves fatigue have a good mood reduce the risk of cancer and more. While it is not to say that the more water your drink the healthier you will be too much water will also hurt your health especially for those who suffer from heart disease hypertension nephrosis edema and so on drinking a healthy amount of water and drink water in right time is vital to your health. To majority of us we only know that we drink <U+0082><c4><f2>a lot of<U+0082><c4><f4> water or <U+0082><c4><f2>a little<U+0082><c4><f4> water we don<U+0082><c4><f4>t know exactly how much water we drink is that quantity suitable for us? Daily water is the app which helps us to track the quantity of water we drink and remind us to drink water in right time. Features: <U+0082><c5><c9> Set goal amount of daily drinking water and track it. <U+0082><c5><c9> Log amount of daily drinking water. <U+0082><c5><c9> Touch to log each drinking. <U+0082><c5><c9> Check glasses of water drunk each day. <U+0082><c5><c9> Customize volume of each glass of water. <U+0082><c5><c9> Customize how much of water you drink each time 1/4 glass 1/2 glass or A glass. <U+0082><c5><c9> Plan drinking schedule and it will remind you when it<U+0082><c4><f4>s time. <U+0082><c5><c9> 10 free alert sounds to choose. <U+0082><c5><c9> Histogram to show the amount of your one day<U+0082><c4><f4>s recent one week<U+0082><c4><f4>s and one month<U+0082><c4><f4>s amount of drinking water. <U+0082><c5><c9> Show amount of glasses of water you have drunk one day on the icon. <U+0082><c5><c9> Email the data of date amount of water to anyone you would like. <U+0082><c5><c9> Supports transferring data to Health app. <U+0082><c5><c9> Supports WiFi backup & restore. <U+0082><c5><c9> Supports Dropbox backup and restore. <U+0082><c5><c9> Support oz and ml. <U+0082><c5><c9> Supports Apple Watch version. <U+0082><c5><c9> Supports 3D Touch function. <U+0082><c5><c9> Supports Today Widget. If you have any question or suggestion please send email to our support maxwellsoftware@gmail.com. NA,We all know that water is essential to our health 2/3 of body is consists of water yet most of us unknowingly suffer from chronic dehydration this is a underlying cause of many illnesses. To most of us we are always too busy to drink water or we only drink water when we feel thirsty that<U+0082><c4><f4>s too late if so thirst is signal which our body warn us that our body have lost water balance and the cells have already dehydrated to serious situation. Water plays a very important role in our body it transports nutrients and oxygen into cells regulates body temperature helps with metabolism and so on drinking enough water can help us lose weight look younger with healthier skin less likely to get sick helps in digestion and constipation relieves fatigue have a good mood reduce the risk of cancer and more. While it is not to say that the more water your drink the healthier you will be too much water will also hurt your health especially for those who suffer from heart disease hypertension nephrosis edema and so on drinking a healthy amount of water and drink water in right time is vital to your health. To majority of us we only know that we drink <U+0082><c4><f2>a lot of<U+0082><c4><f4> water or <U+0082><c4><f2>a little<U+0082><c4><f4> water we don<U+0082><c4><f4>t know exactly how much water we drink is that quantity suitable for us? Daily water is the app which helps us to track the quantity of water we drink and remind us to drink water in right time. Features: <U+0082><c5><c9> Set goal amount of daily drinking water and track it. <U+0082><c5><c9> Log amount of daily drinking water. <U+0082><c5><c9> Touch to log each drinking. <U+0082><c5><c9> Check glasses of water drunk each day. <U+0082><c5><c9> Plan drinking schedule customize drinking water reminders and notification text. <U+0082><c5><c9> 10 free alert sounds to choose. <U+0082><c5><c9> Customize volume of each glass of water. <U+0082><c5><c9> Check glasses of water drunk each day <U+0082><c5><c9> Customize how much of water you drink each time 1/4 glass 1/2 glass or A glass. <U+0082><c5><c9> Histogram to show the amount of your one day<U+0082><c4><f4>s recent one week<U+0082><c4><f4>s and one month<U+0082><c4><f4>s amount of drinking water. <U+0082><c5><c9> Show amount of glasses of water you have drunk one day on the icon. <U+0082><c5><c9> Email the data of date amount of water to anyone you would like. <U+0082><c5><c9> Supports transferring data to Health app. <U+0082><c5><c9> Supports WiFi backup & restore. <U+0082><c5><c9> Supports Dropbox backup and restore. <U+0082><c5><c9> Support oz and ml. <U+0082><c5><c9> No ads. <U+0082><c5><c9> Supports Apple Watch version. <U+0082><c5><c9> Supports 3D Touch function. <U+0082><c5><c9> Supports Today Widget. If you have any question or suggestion please send email to our support maxwellsoftware@gmail.com. NA";"water,hydration goals";"dropbox,email export,reminders/notifications,healthkit";"";"";"";"";;;;;;;;;;;;;;;;;;"maxwellapps.com"
"Darma Smart Cushion";"device";3;;1082;"Darma";"darma.co/Darma_Cushion.html";"";;;"rNC";"";"posture,stress";"";"";"";"";"";;;;;;;;;;;;;;;;;;"darma.co"
"Dash";"device";2.5;;50;"";"";"driving";;;"DIM";"";"gps";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"data access";"concept";2.5;;51;"Google Drive,Web Api,REST Api,SDK";"";"";;;"DIM";"";"";"dropbox,file format";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"data schema";"concept";2.5;;52;"provenance,granularity,data standards";"";"";;;"DIM";"";"";"data access";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"data source";"concept";2.5;;53;"integration,partner,syncing,supported devices,compatability";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Dataset of Wearable Sensors With Possibilities for Data Exchange";"dataset";2.5;;54;"Miroslav Muzny,Andr<e9> Henriksen,Alain Giordanengo,Jan Muzik,Astrid Gr<f8>ttland,H<e5>vard Blixg<e5>rd,Gunnar Hartvigsen,Eirik <c5>rsand";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Daysy Personal Fertility Tracker";"device";3;;1083;"Daysy";"usa.daysy.me/";"";;;"rNC";"";"fertility,ovulation,body temperature,women's health";"";"";"";"";"";;;;;;;;;;;;;;;;;;"usa.daysy.me"
"DayTwo";"test";3;;1084;"";"daytwo.com/";"";;;"rNC";"";"microbiome dna,gut metagenome";"";"";"";"";"";;;;;;;;;;;;;;;;;;"daytwo.com"
"Desi Calorie Meter";"app";0;;1085;"desi by Harsha,Desi,Harsha pps";"facebook.com/desiCalMeter,facebook.com/desiCalMeter";"Health & Fitness,Motivation,Health,Physical activity,Android";0;;"doi.org/10.1186/s12937-018-0366-6";"NA DesiCalMeter app is a free app that allows Android users to search and log calories for various kinds of Indian food. The concept behind DesiCalMeter is to help people lose weight by providing a comprehensive calorie counter and nutritional analysis. The fastest and easiest to use calorie counter for Android. DesiCalMeter is simple to use and has all the cool tools to help you succeed : - A calorie checker to plan and keep track of what you're eating. - An exercise diary to record all the calories you burn. - A quick pick to find calorie and nutrition info for your favorite foods- A calorie calculator to see your calories consumed and burned.";"excercise,food preferences,body weight,activity level";"";"";"";"";"";;;;;;;;;;;;;;;;;;"facebook.com"
"Dexcom";"device";2.5;;1086;"Dexcom G6";"dexcom.com,dexcom.com/products";"Tracker,CGM,RF Radio,Bluetooth,FDA approved,CE marked,Android,iOS,In production,wear";;;"https://doi.org/10.18710/QXMY88,http://tidepool.org/products/tidepool-uploader/,rNC";"Continuous blood glucose monitor";"cgm";"tidepool,glooko,applehealth,googlefit";"";"";"";"";;;;;;;;;;;;;;;;;;"dexcom.com"
"Dia-Vit Tracker";"device";1;;1087;"Dia-Vit";"dia-vit.com/";"Tracker,CGM,Patch,Non-invasive,Not released yet";;;"https://doi.org/10.18710/QXMY88,https://www.wearable-technologies.com/2016/07/new-ways-for-monitoring-diabetes/";"Non-invasive BG sensor";"cgm";"";"";"";"";"";;;;;;;;;;;;;;;;;;"dia-vit.com"
